ONGLET,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
ACTRO,ACTR--600,ACTRO,,,,600,,,,190,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--800,ACTRO,,,,800,,,,190,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--890,ACTRO,,,,890,,,,140,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--1000,ACTRO,,,,1000,,,,190,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--1170,ACTRO,,,,1170,,,,140,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--1240,ACTRO,,,,1240,,,,190,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--1470,ACTRO,,,,1470,,,,140,,,,,,,,,,,,,,,,,,,
ACTRO,ACTR--1900,ACTRO,,,,1900,,,,140,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--170,AEOLIAN,,,,170,,,,950,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--200,AEOLIAN,,,,200,,,,610,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--200,AEOLIAN,,,,200,,,,950,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--250,AEOLIAN,,,,250,,,,610,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--270,AEOLIAN,,,,270,,,,375,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--270,AEOLIAN,,,,270,,,,500,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--270,AEOLIAN,,,,270,,,,790,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--320,AEOLIAN,,,,320,,,,375,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--320,AEOLIAN,,,,320,,,,500,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--380,AEOLIAN,,,,380,,,,375,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--380,AEOLIAN,,,,380,,,,500,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--400,AEOLIAN,,,,400,,,,275,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--400,AEOLIAN,,,,400,,,,418,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--410,AEOLIAN,,,,410,,,,375,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--410,AEOLIAN,,,,410,,,,500,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--500,AEOLIAN,,,,500,,,,205,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--500,AEOLIAN,,,,500,,,,270,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--500,AEOLIAN,,,,500,,,,374,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--580,AEOLIAN,,,,580,,,,418,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--600,AEOLIAN,,,,600,,,,205,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--600,AEOLIAN,,,,600,,,,306,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--600,AEOLIAN,,,,600,,,,270,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--600,AEOLIAN,,,,600,,,,374,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--600,AEOLIAN,,,,600,,,,275,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--700,AEOLIAN,,,,700,,,,270,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--700,AEOLIAN,,,,700,,,,275,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--700,AEOLIAN,,,,700,,,,418,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--720,AEOLIAN,,,,720,,,,210,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--720,AEOLIAN,,,,720,,,,320,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--750,AEOLIAN,,,,750,,,,55,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--750,AEOLIAN,,,,750,,,,108,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--750,AEOLIAN,,,,750,,,,65,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--750,AEOLIAN,,,,750,,,,125,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--790,AEOLIAN,,,,790,,,,228,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--800,AEOLIAN,,,,800,,,,205,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--800,AEOLIAN,,,,800,,,,306,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--850,AEOLIAN,,,,850,,,,55,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--850,AEOLIAN,,,,850,,,,108,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--880,AEOLIAN,,,,880,,,,65,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--880,AEOLIAN,,,,880,,,,122,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--890,AEOLIAN,,,,890,,,,125,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--890,AEOLIAN,,,,890,,,,140,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--890,AEOLIAN,,,,890,,,,210,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--890,AEOLIAN,,,,890,,,,320,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--900,AEOLIAN,,,,900,,,,228,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--910,AEOLIAN,,,,910,,,,100,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--910,AEOLIAN,,,,910,,,,172,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,40,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,106,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,55,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,108,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,172,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1000,AEOLIAN,,,,1000,,,,202,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1020,AEOLIAN,,,,1020,,,,140,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1050,AEOLIAN,,,,1050,,,,100,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1100,AEOLIAN,,,,1100,,,,70,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1100,AEOLIAN,,,,1100,,,,142,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1100,AEOLIAN,,,,1100,,,,228,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1120,AEOLIAN,,,,1120,,,,65,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1200,AEOLIAN,,,,1200,,,,30,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1200,AEOLIAN,,,,1200,,,,90,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1200,AEOLIAN,,,,1200,,,,106,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1250,AEOLIAN,,,,1250,,,,172,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1250,AEOLIAN,,,,1250,,,,202,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1300,AEOLIAN,,,,1300,,,,55,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1300,AEOLIAN,,,,1300,,,,108,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1300,AEOLIAN,,,,1300,,,,95,,,,,,,,,,,,,,,,,,,
AEOLIAN,AEOL--1350,AEOLIAN,,,,1350,,,,40,,,,,,,,,,,,,,,,,,,
