ID,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
1,BETA-1102-22000,BetaFPV,1102 Brushless Motor,2022,1102,22000,2.79,2,11,13.6,,1.5,5,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,37mm,28AWG,40mm 3 pales,,,,,,https://betafpv.com/products/1102-13500kv-brushless-motors,https://betafpv.com/cdn/shop/products/74b96dbb2d19db9758ba306fc55ad040_f7a20941-d790-4480-9c37-a4e829a8cd8e_800x.jpg?v=1662720960
2,BETA-1102-18000,BetaFPV,1102 Brushless Motor,,1102,18000,2.95,2,11,15.2,,1.5,5,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,37mm,28AWG,40mm 3 pales,,,,,,https://betafpv.com/products/1102-13500kv-brushless-motors,https://betafpv.com/cdn/shop/products/74b96dbb2d19db9758ba306fc55ad040_f7a20941-d790-4480-9c37-a4e829a8cd8e_800x.jpg?v=1662720960
3,BETA-1102-14000,BetaFPV,1102 Brushless Motor,2022,1102,14000,,2,11,,,1.5,5,Lisse,,M1.4,Ø6.6 (3 trous),1S,3.7V,37mm,28AWG,40mm 3 pales,,,,,,https://betafpv.com/products/1102-13500kv-brushless-motors,https://betafpv.com/cdn/shop/products/74b96dbb2d19db9758ba306fc55ad040_f7a20941-d790-4480-9c37-a4e829a8cd8e_800x.jpg?v=1662720960
4,EMAX-2004-2400,Emax,ECO II 2004,ECO II,2004,2400,18,4,20,19.2,24.7,1.5,,T-Mount,,M2,12x12,4S-6S,14.8-22.2V,120mm,24AWG,"3""-4""",,,N52SH,,12N14P,https://www.racedayquads.com/products/emax-eco-ii-2004-2400kv-motor,https://www.racedayquads.com/cdn/shop/products/emax-emax-eco-ii-2004-2400kv-motor-motor-29349070831729.jpg?v=1762441476&width=1200
5,EMAX-2207-1800,Emax,RSIII 2207,RSIII,2207,1800,29.3,7,22,33,26.9,4,,Plein (titane),M5,M3,16x16,3S-6S,11.1-22.2V,120mm,20AWG,"5""-5.5""",1080,43,,,12N14P,https://www.racedayquads.com/products/emax-rsiii-series-2207-1800kv-motor,https://www.racedayquads.com/cdn/shop/files/emax-emax-rsiii-series-2207-1800kv-motor-motor-30806852141169.jpg?v=1762443233&width=1200
6,EMAX-2306-1800,Emax,RSIII 2306,RSIII,2306,1800,27.9,6,23,32,27.3,4,,Plein (titane),M5,M3,16x16,3S-6S,11.1-22.2V,120mm,20AWG,"5""-5.5""",860,34,,,12N14P,https://www.racedayquads.com/products/emax-rsiii-series-2306-1800kv-motor,https://www.racedayquads.com/cdn/shop/files/emax-emax-rsiii-series-2306-1800kv-motor-motor-30806860497009.jpg?v=1762443235&width=1200
7,EMAX-2306-2500,Emax,RSIII 2306,RSIII,2306,2500,27.7,6,23,32,27.3,4,,Plein (titane),M5,M3,16x16,3S-4S,11.1-14.8V,120mm,20AWG,"5""-5.5""",720,43,,,12N14P,https://www.racedayquads.com/products/emax-rsiii-series-2306-2500kv-motor,https://www.racedayquads.com/cdn/shop/files/emax-emax-rsiii-series-2306-2500kv-motor-motor-30806865444977.jpg?v=1762443237&width=1200
8,EMAX-2306-2100,Emax,RSIII 2306,RSIII,2306,2100,27.8,6,23,32,27.3,4,,Plein (titane),M5,M3,16x16,3S-6S,11.1-22.2V,120mm,20AWG,"5""-5.5""",1160,46,,,12N14P,https://www.racedayquads.com/products/emax-rsiii-series-2306-2100kv-motor,https://www.racedayquads.com/cdn/shop/files/emax-emax-rsiii-series-2306-2100kv-motor-motor-30806862921841.jpg?v=1762443237&width=1200
9,RCIN-0802-25000,RCinPower,GTS V3 0802,GTS V3,0802,25000,1.97,2,8,,,1,,,,,,1S,3.7V,,,,24.1,6.5,,,9N12P,https://pyrodrone.com/products/rcinpower-gts-v3-0802-25000kv-brushless-fpv-drone-motor-choose-color,https://pyrodrone.com/cdn/shop/products/S36bdf6bd1b3148b18f4e2525048040931_9cc00cb4-5bf7-40d6-99f7-57af5248b7cc_700x700.jpg?v=1671651610
10,RCIN-0802-22000,RCinPower,GTS V3 0802,GTS V3,0802,22000,1.97,2,8,,,1,,,,,,1S,3.7V,,,,21.5,5.8,,,9N12P,https://pyrodrone.com/products/rcinpower-gts-v3-0802-22000kv-brushless-fpv-drone-motor-choose-color,https://pyrodrone.com/cdn/shop/products/S36bdf6bd1b3148b18f4e2525048040931_700x700.jpg?v=1671651214
